_id,text,time,location,user
5faefbf9a3af1cae40abfb93,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:25 +0000 2020,null,parkerwon
5faefbf9a3af1cae40abfb94,RT thelittlejxxker Parasol 2020 amp Winter 2018 Halo Giveaway Follow thelittlejxxker amp Pinkcheese cake amp HazelTheNob Retweet amp Lik ,Fri Nov 13 21:14:25 +0000 2020,null,Crystal8Lily
5faefbf9a3af1cae40abfb95,RT stablercake Sad about missing out on those MFF Con Hauls Well COME CHECK OUT ARTMART A con haul you can pick and choose from 15 ,Fri Nov 13 21:14:25 +0000 2020,null,RustyWoofs
5faefbf9a3af1cae40abfb96, VincentCrypt46 Sending you a piece of Oregon peace This was the calm before today s storm on the coast ,Fri Nov 13 21:14:25 +0000 2020,null,IceKates17
5faefbf9a3af1cae40abfb97,RT NWSSanDiego 30 named storms in the Atlantic Basin this year THIRTY The record breaking season continues to our east records Iota,Fri Nov 13 21:14:25 +0000 2020,null,TrefaultPaulina
5faefbf9a3af1cae40abfb98,RT GVNext The upcoming holiday presents a new challenge and an opportunity to practice what is most effective in curbing the spread of CO ,Fri Nov 13 21:14:25 +0000 2020,null,GVSU
5faefbf9a3af1cae40abfb99,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:25 +0000 2020,null,klpetrillo17
5faefbf9a3af1cae40abfb9a,RT AOECOIN Breaking BreakingNews Scytl managed nearly 100 000 electoral appointments in more than 35 COUNTRIES UnitedStates ,Fri Nov 13 21:14:25 +0000 2020,null,AntoszPaulina86
5faefbf9a3af1cae40abfb9b,If only the Premier of this province would agree to deploy the COVIDAlert app here in Alberta ,Fri Nov 13 21:14:25 +0000 2020,Calgary,Dave_Khan
5faefbf9a3af1cae40abfb9c, mtgreenee I see what you did there with the loony Storm reference I heard you were being a bitch about wearing a ,Fri Nov 13 21:14:25 +0000 2020,null,secretagent8181
5faefbf9a3af1cae40abfb9d,RT IGN BREAKING There is an ongoing police operation unfolding near Ubisoft s offices in Montreal Canada ,Fri Nov 13 21:14:25 +0000 2020,null,pjwatts28
5faefbfaa3af1cae40abfb9e,RT PIX1ELIX i dont care if you re a filipino or not HELP US SPREAD AWARENESS we need donations for the evacuees necessities and prayer ,Fri Nov 13 21:14:25 +0000 2020,null,morningsahi
5faefbfaa3af1cae40abfb9f,RT IGN Update The Montreal police are now evacuating Ubisoft s offices after identifying no threats,Fri Nov 13 21:14:25 +0000 2020,null,Rexasaurus14
5faefbfaa3af1cae40abfba0,RT jungwonsfilter i cant sleep right now i cant stop shaking i cant unhear those screams from the ppl who are begging for help right no ,Fri Nov 13 21:14:25 +0000 2020,null,jentlekims
5faefbfaa3af1cae40abfba1,RT jungwonsfilter i cant sleep right now i cant stop shaking i cant unhear those screams from the ppl who are begging for help right no ,Fri Nov 13 21:14:25 +0000 2020,null,MOCHIBAEKHYUNE
5faefbfaa3af1cae40abfba2,RT passionatekandi 2 feet and still snowing snow snowpocalypse snowing Shuswap BeautifulBritishColumbia BCStorm ,Fri Nov 13 21:14:25 +0000 2020,null,MuketyMuk
5faefbfaa3af1cae40abfba3,RT GaryBurrill It is entirely disrespectful of the people of Nova Scotia for the Premier to avoid a fall sitting evade public scrutiny ,Fri Nov 13 21:14:25 +0000 2020,null,BeaconFireSafet
5faefbfaa3af1cae40abfba4,Lol I really be wanting to hop in my family group chat and shake the table but I be chillin Talking about who got ,Fri Nov 13 21:14:25 +0000 2020,null,TheHealingHun
5faefbfaa3af1cae40abfba5, CanBorder canadapostcorp canada post is probably one of the worst couriers i have had in recent times they say t ,Fri Nov 13 21:14:25 +0000 2020,null,TylerSe06090533
5faefbfaa3af1cae40abfba6, SteveOnSpeed steph93065 Yes However I know no one who has been hospitalized or died or put on a ventilator Eve ,Fri Nov 13 21:14:25 +0000 2020,null,RaindropT
